goodsID,goodsCode,leFoxID,chineseBrandName,englishBrandName,goodsName,goodsSubName,backstageCategory,price,originalPrice,costPrice,buyPrice,lowestPrice,lowestPriceText,stock,onSale,purchaseTypeId,purchaseModeType,timestamp,source,actualPrice,msrp
694cc276f52aff000112398f,20110799,4871898,伊丽莎白雅顿,Elizabeth Arden,时空焕活抗皱紧致眼霜,15ml,美妆护肤-面部护肤-眼霜/眼部精华,288,384.0,384.0,288,,,9999,True,0,,,eye,288.0,384.0
694cc2265b103b0001abd556,20109178,4870337,科颜氏,KIEHLS,金盏花精华水活霜,50ml,美妆护肤-面部护肤-乳液面霜,290,365.0,365.0,290,,,9999,True,0,,,cream,290.0,365.0
694cc3769cc20b00019c05f0,20115836,4876890,后,WHOO,天气丹光耀焕活紧颜滋养液,150ml,美妆护肤-面部护肤-爽肤水/化妆水,372,294.0,294.0,372,,,9999,True,0,,,pvg,294.0,372.0
694cc3ec5b103b0001df3e28,20118430,4879269,伊丽莎白雅顿,Elizabeth Arden,晶璨皙颜焕白弹润霜,50ml,美妆护肤-面部护肤-乳液面霜,355,294.0,294.0,355,,,9999,True,0,,,cream,294.0,355.0
694cc1e256e4f1000101967d,20107728,4868946,范思哲,VERSACE,男士淡香水,50ml,美妆护肤-香水香氛-香水,344,425.0,425.0,295,,,9999,True,0,,,pvg,295.0,425.0
694cc30d5b103b0001df1baf,20113682,4874858,倩碧,CLINIQUE,匀净美白精华水,175ml,美妆护肤-面部护肤-爽肤水/化妆水,297,350.0,350.0,297,,,9999,True,0,,,pvg,297.0,350.0
694cc3e25b103b0001df3b85,20118146,4879070,纪梵希,GIVENCHY,明星四宫格柔雾散粉,N0/12g,美妆护肤-面部彩妆-散粉/蜜粉,299,499.0,499.0,299,,,9999,True,0,,,pvg,299.0,499.0
694cc38d9cc20b00019c0980,20116567,4877386,纪梵希,GIVENCHY,轻盈无痕明星四宫格四色散粉,N3 玫瑰滤镜/12g,美妆护肤-面部彩妆-散粉/蜜粉,299,499.0,499.0,299,,,9999,True,0,,,pvg,299.0,499.0
694cc2fc56e4f1000101c3a2,20113749,4874627,帕尔玛之水,ACQUA DI PARMA,格调手部身体洁肤露（木兰未央调）,300ml,个护家清-身体护理-沐浴露,300,490.0,490.0,300,,,9999,True,0,,,bodywash,300.0,490.0
694cc39156e4f1000101dfcb,20116375,4877419,科颜氏,KIEHLS,精研三酸焕肤精华,50ml,美妆护肤-面部护肤-精华,333,559.0,559.0,300,,,9999,True,0,,,serum,300.0,559.0
