product_id,activity_product_id,brand_id,brand,brand_en,name,category,subcategory,price,original_price,discount,stock,activity_stock,sell_num,activity_id,activity_type,catalog_id,sku
p15858619,,100013,Boss,Boss,HUGO雨果男士淡香氛 75ml,3037,2351,565,,,2,0,3,,0,c85690878,C053041
p15742417,504213073.0,31887,CLINIQUE,CLINIQUE (Beauty),CLINIQUE倩碧明肌淨透水3號 400ml,3022,1090,174,315.0,5.5,4,4,19,500023044.0,1,c85555738,C014421
p15831816,504207688.0,31845,聖羅蘭,YSL,YSL 聖羅蘭NEW MASC香水,3037,2352,504,850.0,5.9,5,5,12,500022953.0,3,c85658192,C108165
p15736644,504207911.0,31845,聖羅蘭,YSL BEAUTY,YSL聖羅蘭 自由之水清版淡香水 90ML,3037,2352,936,1560.0,6.0,3,3,4,500022953.0,3,c85548559,C100192
p15739104,504207913.0,31845,聖羅蘭,YSL BEAUTY,YSL聖羅蘭 MON PARIS 濃香水 90ML,3037,2352,1010,1655.0,6.1,3,3,6,500022953.0,3,c85551510,C035233
p15839221,504207791.0,31845,聖羅蘭,YSL,YSL聖羅蘭純口紅3.8g,3016,2195,224,380.0,5.9,5,5,57,500022953.0,3,c85666416,C110041
p15890283,504207920.0,31851,蔻依,Chloe,"Chloe""蔻依戀旅重返埃及女士香氛75ml",3037,2352,591,1374.0,4.3,1,1,2,500022953.0,3,c85731945,C116910
p15849362,504207925.0,13558,植村秀,SHU UEMURA,SHU UEMURA植村秀「光影盤」羽紗修色四色遮瑕盤,3038,2217,250,425.0,5.9,3,3,23,500022953.0,3,c85679138,C111451
p15735847,504211934.0,10197,悦木之源,ORIGINS,ORIGINS悅木之源韋博士靈芝煥能好底子精華面霜50毫升,3022,1093,372,620.0,6.0,12,12,45,500023014.0,1,c85547767,C041210
p15740333,,14721,祖瑪瓏,JO MALONE LONDON,JO MALONE祖·瑪瓏英國梨與小蒼蘭香水30毫升,3037,3204,640,,,1,0,6,,0,c85553000,C030052
p15876792,504213100.0,10174,魅可,MAC,MAC魅可新經典緞光唇膏3.5g,3016,2195,103,190.0,5.4,11,11,17,500023044.0,1,c85716379,C115065
p15894444,504207837.0,10174,魅可,MAC,MAC魅可造型唇線筆VINO 1.45g,3016,2196,91,175.0,5.2,1,1,1,500022953.0,3,c85737541,C045137
p15866249,504207765.0,10174,魅可,MAC,MAC魅可細緻眉筆增量裝 01,3038,2207,128,235.0,5.4,5,5,18,500022953.0,3,c85701300,C049301
p15866235,504213166.0,10174,魅可,MAC,MAC魅可煥采元氣腮紅泥,3021,2213,166,265.0,6.3,5,5,12,500023044.0,1,c85700822,C113739
p15877259,,10174,魅可,MAC,MAC魅可造型唇線筆/唇膏筆,3016,2195,150,,,1,0,12,,0,c85716397,C115087
p15865178,504213206.0,10174,魅可,MAC,MAC魅可炫彩豐盈潤唇膏2.3g,3016,2195,97,180.0,5.4,3,3,29,500023044.0,1,c85700031,C112779
p15792849,504207663.0,10174,魅可,MAC,MAC魅可造型唇線筆,3016,2196,82,150.0,5.5,2,2,18,500022953.0,3,c85613250,C032281
p15877257,504207701.0,12469,湯姆福特,TOM FORD,TOM FORD湯姆福特新烈焰幻魅唇膏 3.5g,3016,2195,270,490.0,5.5,5,5,17,500022953.0,3,c85716395,C114478
p15831474,504208024.0,30983,伊芙蘭,EVE LOM,EVE LOM伊芙蘭亮采修護視黃醇精華液 30ml,3022,1096,886,1870.0,4.7,1,1,8,500022953.0,3,c85657683,C107101
